name,norad_id,epoch_year,epoch_day,inclination_deg,raan_deg,eccentricity,arg_perigee_deg,mean_anomaly_deg,mean_motion_rev_per_day,bstar_drag,classification,source,line1,line2,semi_major_axis_km,orbital_period_min,altitude_km
STARLINK-31035,58532,26,61.06983175,53.1606,84.9801,0.0001317,71.7397,288.3747,918.1206827999999,1.7124e-05,U,active,1 58532U 23192B   26061.06983175  .00000148  00000+0  17124-4 0  9995,2 58532  53.1606  84.9801 0001317  71.7397 288.3747 15.30201138125003,6853.348671558557,94.10527572094905,482.3486715585568
STARLINK-31036,58533,26,61.12315428,53.1591,98.1468,0.0001058,97.26290000000002,262.8492,918.1181964,1.6800000000000002e-05,U,active,1 58533U 23192C   26061.12315428  .00000139  00000+0  16800-4 0  9993,2 58533  53.1591  98.1468 0001058  97.2629 262.8492 15.30196994124822,6853.361044808182,94.10553057196765,482.36104480818176
STARLINK-30936,58534,26,61.09686017,53.1598,88.0399,0.0001174,80.3809,279.7324,918.1182462,1.7216000000000003e-05,U,active,1 58534U 23192D   26061.09686017  .00000151  00000+0  17216-4 0  9991,2 58534  53.1598  88.0399 0001174  80.3809 279.7324 15.30197077124962,6853.3607969843415,94.10552546755386,482.3607969843415
STARLINK-31032,58535,26,61.09465618,53.1598,97.9405,0.0001458,80.1067,280.0098,918.1196064000001,9.3936e-05,U,active,1 58535U 23192E   26061.09465618  .00002424  00000+0  93936-4 0  9992,2 58535  53.1598  97.9405 0001458  80.1067 280.0098 15.30199344124826,6853.354028117778,94.10538604962309,482.3540281177784
STARLINK-31037,58536,26,60.83762054,53.1598,99.2006,0.0001227,100.2925,259.8215,918.1143408,2.1341e-05,U,active,1 58536U 23192F   26060.83762054  .00000273  00000+0  21341-4 0  9999,2 58536  53.1598  99.2006 0001227 100.2925 259.8215 15.30190568124789,6853.380231815852,94.10592576597294,482.3802318158523
STARLINK-31041,58537,26,60.83656434,53.1602,99.1742,0.000129,94.5592,265.5556,918.1190261999999,0.00010825,U,active,1 58537U 23192G   26060.83656434  .00002848  00000+0  10825-3 0  9998,2 58537  53.1602  99.1742 0001290  94.5592 265.5556 15.30198377124785,6853.356915409059,94.10544551897667,482.3569154090592
STARLINK-31014,58538,26,60.52054106,53.1596,100.7554,0.000117,74.0518,286.0611,918.1197144,-2.7873e-06,U,active,1 58538U 23192H   26060.52054106 -.00000442  00000+0 -27873-5 0  9996,2 58538  53.1596 100.7554 0001170  74.0518 286.0611 15.30199524124736,6853.353490669892,94.10537497984478,482.3534906698924
STARLINK-31055,58539,26,61.11154124,53.1591,98.0426,0.0001315,63.4739,296.6397,918.1179630000001,1.5105e-05,U,active,1 58539U 23192J   26061.11154124  .00000088  00000+0  15105-4 0  9992,2 58539  53.1591  98.0426 0001315  63.4739 296.6397 15.30196605124822,6853.362206296112,94.1055544950709,482.36220629611216
STARLINK-31019,58540,26,60.84078367,53.1586,99.1977,0.0001331,93.7243,266.391,918.1191996000001,0.00010227000000000001,U,active,1 58540U 23192K   26060.84078367  .00002671  00000+0  10227-3 0  9996,2 58540  53.1586  99.1977 0001331  93.7243 266.3910 15.30198666124784,6853.356052505761,94.1054277458114,482.356052505761
STARLINK-31045,58541,26,61.04744117,53.15970000000001,175.0806,9.92e-05,76.7614,283.3497,918.1145796000001,3.0567e-05,U,active,1 58541U 23192L   26061.04744117  .00000546  00000+0  30567-4 0  9992,2 58541  53.1597 175.0806 0000992  76.7614 283.3497 15.30190966123724,6853.379043447642,94.1059012891859,482.3790434476423
